# Generated by migration/scripts/inventory.ps1 -- do not edit by hand.
# Regenerate after pulling upstream Java changes.
module	java_package	java_files	java_lines	go_package	status
fontbox	org.apache.fontbox	2	112	fontbox	not-started
fontbox	org.apache.fontbox.afm	8	2207	fontbox/afm	not-started
fontbox	org.apache.fontbox.cff	26	6595	fontbox/cff	not-started
fontbox	org.apache.fontbox.cmap	5	1753	fontbox/cmap	not-started
fontbox	org.apache.fontbox.encoding	4	574	fontbox/encoding	not-started
fontbox	org.apache.fontbox.pfb	1	253	fontbox/pfb	not-started
fontbox	org.apache.fontbox.ttf	44	11091	fontbox/ttf	not-started
fontbox	org.apache.fontbox.ttf.gsub	13	1818	fontbox/ttf/gsub	not-started
fontbox	org.apache.fontbox.ttf.model	5	337	fontbox/ttf/model	not-started
fontbox	org.apache.fontbox.ttf.table.common	12	632	fontbox/ttf/table/common	not-started
fontbox	org.apache.fontbox.ttf.table.gsub	9	455	fontbox/ttf/table/gsub	not-started
fontbox	org.apache.fontbox.type1	6	2131	fontbox/type1	not-started
fontbox	org.apache.fontbox.util	1	184	fontbox/util	not-started
fontbox	org.apache.fontbox.util.autodetect	7	496	fontbox/util/autodetect	not-started
io	org.apache.pdfbox.io	18	3967	pdfio	in-progress
pdfbox	org.apache.pdfbox	1	468	pdfbox	not-started
pdfbox	org.apache.pdfbox.contentstream	3	1461	pdfbox/contentstream	not-started
pdfbox	org.apache.pdfbox.contentstream.operator	5	614	pdfbox/contentstream/operator	not-started
pdfbox	org.apache.pdfbox.contentstream.operator.color	13	747	pdfbox/contentstream/operator/color	not-started
pdfbox	org.apache.pdfbox.contentstream.operator.graphics	23	1314	pdfbox/contentstream/operator/graphics	not-started
pdfbox	org.apache.pdfbox.contentstream.operator.markedcontent	6	409	pdfbox/contentstream/operator/markedcontent	not-started
pdfbox	org.apache.pdfbox.contentstream.operator.state	13	763	pdfbox/contentstream/operator/state	not-started
pdfbox	org.apache.pdfbox.contentstream.operator.text	16	966	pdfbox/contentstream/operator/text	not-started
pdfbox	org.apache.pdfbox.cos	24	6877	pdfbox/cos	not-started
pdfbox	org.apache.pdfbox.filter	23	4525	pdfbox/filter	not-started
pdfbox	org.apache.pdfbox.multipdf	6	3884	pdfbox/multipdf	not-started
pdfbox	org.apache.pdfbox.pdfparser	12	5980	pdfbox/pdfparser	not-started
pdfbox	org.apache.pdfbox.pdfparser.xref	6	524	pdfbox/pdfparser/xref	not-started
pdfbox	org.apache.pdfbox.pdfwriter	3	1975	pdfbox/pdfwriter	not-started
pdfbox	org.apache.pdfbox.pdfwriter.compress	4	937	pdfbox/pdfwriter/compress	not-started
pdfbox	org.apache.pdfbox.pdmodel	29	8693	pdfbox/pdmodel	not-started
pdfbox	org.apache.pdfbox.pdmodel.common	16	3470	pdfbox/pdmodel/common	not-started
pdfbox	org.apache.pdfbox.pdmodel.common.filespecification	4	735	pdfbox/pdmodel/common/filespecification	not-started
